#{"t_start": 1744811708.0384393, "env_id": "footsteps-planning-any-obstacle-multigoal-v0"}
r,l,t
-107.785669,90,141.353336
-96.914827,90,141.970779
-100.076999,90,142.836389
-151.568416,90,143.834392
-107.143592,90,144.818069
-111.40379,90,145.788094
-557.011069,90,146.796192
-106.963,90,147.760244
-95.703629,90,148.75999
-116.505611,90,149.742832
-104.229163,90,150.760454
-111.043536,90,151.737599
-110.947027,90,152.7167
-104.72842,90,153.725398
-117.756282,90,154.745604
-96.096114,90,155.726351
-110.865663,90,156.702074
-101.120545,90,157.681742
-98.604564,90,158.687245
-100.497836,90,159.663318
-102.800422,90,160.645896
-100.61455,90,161.631589
-99.808273,90,162.635539
-102.011537,90,163.632493
-99.991117,90,164.51741
-105.134382,90,165.47696
-115.767553,90,166.457182
-95.342703,90,167.428195
-102.570153,90,168.395782
-102.888825,90,169.373368
-106.749648,90,170.369149
-97.475541,90,171.339087
-114.1352,90,172.296658
-97.490035,90,173.257757
-106.729632,90,174.289704
-98.153199,90,175.760052
-96.755174,90,176.641985
-112.311,90,177.669631
-102.304886,90,178.816096
-115.389827,90,179.844949
-98.92847,90,180.809319
-112.829021,90,181.780975
-105.677547,90,182.81114
-102.244892,90,183.843175
-95.809291,90,184.850422
-99.310702,90,185.841668
-123.319632,90,186.847176
-106.120443,90,187.837977
-115.500572,90,188.838859
-102.353145,90,189.821037
-95.881573,90,190.804508
-102.671877,90,191.774713
-107.613138,90,192.750305
-101.544007,90,193.737339
-108.573789,90,194.479629
-102.262823,90,195.109666
-105.875171,90,195.74031
-109.273943,90,196.369114
-97.415061,90,197.008989
-92.588459,90,197.639927
-95.376346,90,198.268953
-95.709395,90,198.901366
-101.220042,90,199.775344
-100.298948,90,200.758586
-91.937071,90,201.949917
-109.951836,90,203.041772
-96.333755,90,204.142678
-144.928696,90,205.157135
-97.580581,90,206.162265
-105.447331,90,207.165223
-107.854535,90,208.229133
-102.324204,90,209.230782
-104.811029,90,210.204297
-102.619074,90,211.20037
-99.232894,90,211.903964
-111.690462,90,212.523097
-98.458953,90,213.143909
-104.11092,90,213.768376
-98.859399,90,214.659226
-102.324812,90,215.643182
-100.114828,90,216.624248
-106.728477,90,217.608775
-96.152726,90,218.310864
-100.073251,90,218.944324
-98.555717,90,219.576143
-100.170023,90,220.206789
-95.470384,90,221.080521
-103.274112,90,222.045892
-104.854163,90,223.018224
-104.723803,90,223.66396
-95.006358,90,224.54961
-107.412457,90,225.533161
-100.474116,90,226.510538
-94.880971,90,227.494771
-100.47638,90,228.500661
-93.202116,90,229.481227
-95.118688,90,230.461979
-98.928165,90,231.44966
-93.206377,90,232.457614
-107.418774,90,233.426323
-104.453649,90,234.41422
-107.853189,90,235.369351
-99.015987,90,236.374977
-96.321915,90,237.345424
-104.883144,90,238.328731
-136.445371,90,239.324591
-106.419737,90,240.314323
-108.201873,90,241.29214
-95.09766,90,242.267567
-97.022194,90,243.242254
-99.598729,90,244.239056
-97.659694,90,245.219357
-97.824881,90,246.19961
-106.704666,90,247.179116
-107.677697,90,248.187123
-110.646247,90,248.988905
-95.225351,90,249.609449
-97.927134,90,250.228601
-102.006443,90,251.082562
-109.242947,90,252.055577
-106.731795,90,253.028753
-99.296049,90,253.873564
-96.611163,90,254.862764
-98.153081,90,255.842326
-108.689414,90,256.816918
-100.189695,90,257.783821
-102.431772,90,258.776404
-95.449251,90,259.756086
-100.947775,90,260.74
-103.014539,90,261.708408
-104.518727,90,262.693053
-101.309413,90,263.689241
-99.502117,90,264.683665
-106.584861,90,265.680167
-95.172802,90,266.348966
-104.042362,90,266.978679
-97.409026,90,267.8647
-98.240491,90,268.792088
-101.266501,90,269.771621
-95.568106,90,270.751551
-96.089362,90,271.736979
-112.943955,90,272.714754
-98.720342,90,273.752778
-101.831611,90,274.782578
-96.17445,90,275.694929
-107.058009,90,276.668813
-109.657834,90,277.657788
-110.955084,90,278.656732
-105.853046,90,279.640805
-98.330585,90,280.626687
-113.401427,90,281.626763
-94.552221,90,282.599091
-96.411841,90,283.596402
-100.256456,90,284.574685
-105.720305,90,285.561407
-101.577364,90,286.527374
-103.115143,90,287.491705
-119.43831,90,288.468029
-103.922288,90,289.482326
-103.169593,90,290.447533
-107.256981,90,291.426629
-110.0242,90,292.404379
-94.919756,90,293.144971
-117.640384,90,293.76744
-120.547242,90,294.392195
-116.028064,90,295.277302
-98.058705,90,296.293466
-125.856151,90,297.272776
-111.984303,90,298.264564
-95.420763,90,299.243406
-96.702444,90,300.252754
-80.898068,75,301.206704
-94.493771,90,302.039073
-105.181548,90,303.005739
-99.150508,90,304.044043
-96.712152,90,305.026573
-98.415554,90,306.005279
-116.167749,90,306.955935
-107.096955,90,307.964546
-99.777024,90,308.96541
-104.735856,90,309.945984
-102.503893,90,310.92285
-92.499754,90,311.92852
-109.139063,90,312.883916
-103.103905,90,313.872663
-97.942529,90,314.791231
-104.951828,90,315.431532
-95.523366,90,316.060833
-112.880296,90,316.691044
-98.515334,90,317.321011
-102.747423,90,318.292274
-95.745839,90,319.025115
-98.056987,90,319.646611
-95.378794,90,320.265774
-99.777229,90,321.222915
-92.355683,90,322.196516
-103.292902,90,323.160926
-99.929045,90,324.166849
-105.709379,90,325.159847
-95.733402,90,326.149356
-106.826858,90,327.136983
-102.489036,90,328.115213
-172.363815,90,329.151615
-96.038279,90,330.126621
-96.502473,90,331.098557
-104.852642,90,332.092515
-112.48779,90,333.368668
-93.961471,90,334.509969
-96.410056,90,335.239806
-110.306338,90,335.872069
-97.490771,90,336.513137
-103.581714,90,337.144966
-94.493161,90,337.775295
-100.363779,90,338.405269
-108.499409,90,339.386756
-106.683408,90,340.375997
-94.56253,90,341.354383
-101.327879,90,342.341274
-97.533204,90,343.347589
-97.511201,90,344.314985
-97.674462,90,345.282819
-94.11856,90,346.204202
-96.48783,90,346.842781
-94.668255,90,347.471425
-93.843547,90,348.298145
-98.382064,90,349.299139
-98.571873,90,350.32345
-97.126746,90,351.30775
-109.491793,90,352.285402
-103.170963,90,353.268068
-98.75573,90,354.299156
-111.508214,90,355.261313
-101.330757,90,356.235647
-99.729279,90,357.202522
-94.994639,90,358.273419
-108.384117,90,359.336383
-114.339845,90,360.10176
-122.081289,90,361.010263
-100.396148,90,362.003018
-106.990203,90,362.987138
-95.936876,90,363.88588
-105.567402,90,364.510106
-100.694529,90,365.489413
-98.842507,90,366.469743
-94.75206,90,367.452413
-100.791764,90,368.437673
-102.493132,90,369.443816
-92.815555,90,370.428661
-95.998392,90,371.416394
-97.653489,90,372.391334
-106.408602,90,373.395831
-105.276532,90,374.414092
-100.50672,90,375.395707
-99.338028,90,376.385996
-97.353804,90,377.409804
-99.936935,90,378.383401
-102.22121,90,379.372072
-94.874509,90,380.359027
-227.806531,90,381.37552
-98.818698,90,382.351766
-103.262982,90,383.338145
-95.896871,90,384.329109
-92.040537,90,385.34745
-109.912965,90,386.328103
-192.528419,90,387.303237
-95.063565,90,388.280931
-104.128903,90,389.021812
-99.681512,90,389.6422
-96.334301,90,390.261113
-96.206737,90,390.880964
-114.761473,90,391.742988
-100.333664,90,392.715932
-101.448504,90,393.718428
-111.988189,90,394.70235
-107.668595,90,395.68201
-96.92627,90,396.653388
-95.864023,90,397.618692
-99.312246,90,398.612657
-108.538027,90,399.338959
-127.48825,90,399.965386
-107.947423,90,400.853793
-111.827397,90,401.836088
-101.460165,90,402.818215
-99.445588,90,403.793887
-93.853869,90,404.768996
-96.153265,90,405.728761
-98.429225,90,406.718815
-36.587261,34,407.598851
-97.777427,90,408.049233
-96.729494,90,409.012049
-95.483796,90,410.031041
-94.18327,90,411.005872
-96.123418,90,411.973863
-96.074339,90,412.952235
-103.433633,90,413.960945
-100.271247,90,414.940844
-94.674764,90,415.919229
-105.709771,90,416.897994
-109.948722,90,417.912283
-95.558303,90,418.89558
-102.260869,90,419.871487
-117.641263,90,420.833038
-106.179329,90,421.631766
-94.524471,90,422.251902
-112.283753,90,422.871126
-99.657492,90,423.492437
-102.420698,90,424.122638
-103.046063,90,424.908988
-94.00327,90,425.838862
-105.250881,90,426.816956
-223.149303,90,427.821407
-101.575722,90,428.815568
-92.969731,90,429.796109
-93.0518,90,430.772236
-95.512955,90,432.281136
-111.390631,90,433.161438
-102.349422,90,434.164942
-93.081353,90,435.142664
-97.037048,90,436.1355
-99.480907,90,437.113268
-99.756299,90,438.090334
-93.590186,90,439.091895
-105.916779,90,440.094369
-109.69406,90,441.073173
-93.973271,90,442.039253
-93.09099,90,443.016899
-99.499459,90,444.034848
-93.155503,90,445.017204
-120.636961,90,445.997406
-94.62898,90,446.974724
-95.17871,90,447.956935
-111.56883,90,448.827601
-101.345531,90,449.448356
-96.528416,90,450.068458
-98.894609,90,450.915025
-104.518246,90,451.892447
-93.307594,90,452.854087
-105.87261,90,453.842685
-115.734864,90,454.854075
-107.073415,90,455.824278
-121.338136,90,456.794221
-100.561974,90,457.767753
-106.872835,90,458.772505
-104.043032,90,459.754482
-107.865287,90,460.729639
-98.732068,90,461.702218
-102.848071,90,462.4499
-93.918049,90,463.080995
-107.703162,90,463.718453
-99.102766,90,464.617828
-118.331644,90,465.633446
-95.575458,88,466.609645
-105.099156,90,467.561782
-107.523331,90,468.544642
-106.050752,90,469.565376
-102.640763,90,470.540365
-100.603716,90,471.514585
-102.266097,90,472.502465
-107.195282,90,473.476409
-98.666342,90,474.464146
-113.62658,90,475.450431
-95.015628,90,476.430982
-112.653358,90,477.423969
-100.833913,90,478.32371
-106.384253,90,478.945686
-99.814878,90,479.566726
-97.957629,90,480.560978
-97.057142,90,481.543113
-111.548519,90,482.425987
-98.472807,90,483.055106
-45.002506,43,483.644259
-94.473333,90,483.998305
-109.548307,90,484.628796
-95.380405,90,485.25797
-97.123443,90,486.115036
-106.095825,90,487.095602
-93.991638,90,488.064925
-108.331568,90,489.059496
-98.508805,90,490.064146
-97.853889,90,491.035493
-99.319809,90,492.009594
-103.205056,90,492.979835
-98.312719,90,494.016805
-94.986551,90,494.993941
-96.103249,90,495.959305
-100.97537,90,496.932189
-123.462424,90,497.921968
-112.987754,90,498.917924
-99.397414,90,499.89731
-102.521968,90,500.868893
-100.50987,90,502.010128
-95.614388,90,502.919003
-97.513087,90,504.169691
-93.69459,90,504.829302
-97.713067,90,506.049082
-108.953705,90,507.341592
-100.002803,90,508.155597
-99.557069,90,509.022876
-93.571249,90,509.97788
-99.206973,90,510.836827
-97.095203,90,512.029907
-100.949319,90,513.300748
-111.253158,90,514.412359
-98.814918,90,515.438333
-101.361276,90,516.449194
-100.034706,90,517.447693
-95.621298,90,518.455531
-121.037491,90,519.431031
-100.886695,90,520.401913
-97.676166,90,521.384521
-98.490857,90,522.36501
-95.796687,90,523.339357
-97.219715,90,524.322353
-97.185298,90,525.29394
-103.580174,90,526.313587
-106.369032,90,527.289675
-99.720318,90,528.264466
-189.751773,90,529.251575
-93.645648,90,530.235673
-102.635849,90,531.206915
-92.775786,90,532.182408
-98.647551,90,533.164825
-111.014642,90,534.061028
-107.005944,90,534.835541
-97.234297,90,535.454745
-99.423078,90,536.074053
-108.241149,90,536.933024
-94.255106,90,537.891042
-97.972312,90,538.885883
-99.88524,90,539.898715
-103.533241,90,540.94209
-95.439134,90,541.952442
-94.672113,90,542.927221
-104.507004,90,543.925094
-95.963149,90,544.949807
-105.019449,90,545.922493
-107.362582,90,546.897019
-103.553852,90,547.863293
-107.927901,90,548.900238
-109.25205,90,549.891743
-97.282594,90,550.874431
-96.969533,90,551.861559
-99.318061,90,552.595873
-90.854109,90,553.216152
-93.217151,90,553.838827
-108.191926,90,554.459674
-116.342934,90,555.442219
-100.242027,90,556.421895
-96.427201,90,557.394176
-97.399615,90,558.370986
-213.45073,90,559.397544
-103.124082,90,560.366255
-96.52094,90,561.327948
-94.360698,90,562.298538
-96.493261,90,563.28731
-94.631084,90,564.273031
-117.433086,90,565.249201
-102.74181,90,566.223059
-98.4363,90,567.209816
-93.338272,90,568.181347
-93.177146,90,569.178455
-99.751567,90,570.152596
-100.608153,90,571.12824
-54.37989,50,572.046867
-103.40103,90,572.651048
-108.243678,90,573.648352
-72.757634,67,574.615217
-93.360648,90,575.546947
-99.802962,90,576.524773
-117.938274,90,577.500029
-104.543896,90,578.510699
-106.64232,90,579.481763
-98.958557,90,580.452465
-100.201858,90,581.425217
-136.708743,90,582.410743
-93.831473,90,583.37955
-108.294588,90,584.360214
-104.142187,90,585.337338
-93.21567,90,586.335354
-96.085839,90,587.321738
-97.556322,90,588.305364
-95.478337,90,589.29407
-96.20678,90,590.284721
-98.311687,90,591.264236
-102.19685,90,592.246157
-98.713031,90,593.23951
-104.970487,90,594.264637
-107.055636,90,595.23774
-94.64943,90,596.22042
-98.217256,90,597.193668
-95.163269,90,598.195303
-95.688359,90,599.187499
-97.508772,90,600.153676
